Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
Granja Elsa,22,2013-11-18,0,25.6,9.4,17.35,7,2.68,,20.5 N,454.11,63.1,3.5,4.82,
Granja Elsa,22,2013-11-19,0,25,10,17.02,9.5,3.19,234.4 SO,33.3 N,426.27,65.45,3.3,4.57,
Granja Elsa,22,2013-11-20,0,23.9,8.6,15.67,12.6,4.02,221.7 S,98.3 E,433.54,63.67,3.2,4.69,
Granja Elsa,22,2013-11-21,0,23.5,7.9,15.45,9.2,2.99,210.7 S,83.5 NE,441.61,66.97,3.3,4.52,
Granja Elsa,22,2013-11-22,0,24.6,9.3,16.4,11.9,3.11,70.2 NE,50.7 NE,404.72,61.76,3.3,4.48,
Granja Elsa,22,2013-11-23,0,23,10.6,16.27,13.2,3.44,66.6 NE,53.4 NE,310.32,68.22,2.2,3.65,
Granja Elsa,22,2013-11-24,0,22.5,8.9,15.4,8.6,2.45,175.2 SE,15.3 N,347.55,70.91,2.5,3.73,
Granja Elsa,22,2013-11-25,0,22.3,8.5,14.28,17.3,4.59,,149.9 SE,302.58,75.25,2.2,3.45,
Granja Elsa,22,2013-11-26,0,17.9,5.2,11.89,13,4.9,358.5 NO,27.7 N,438.54,69.02,2.8,4.81,
Granja Elsa,22,2013-11-27,0,17.8,0.4,8.24,12.4,6.7,358 NO,356 NO,440.25,63.09,2.5,5.31,
Granja Elsa,22,2013-11-28,0,20.7,2.8,10.06,7.9,2.86,206.3 S,6.6 N,398.88,68.59,2.5,4.55,
Granja Elsa,22,2013-11-29,0,21.9,5.1,12.13,9.8,4.06,25.1 N,6.4 N,430.63,61.82,3.3,5.19,
Granja Elsa,22,2013-11-30,0,22.5,2.8,11.36,11.5,3.4,45.7 NE,,443.69,60.75,3.2,5.23,
Granja Elsa,22,2013-12-01,0,24.8,3.5,12.88,8.8,3.06,246.7 SO,347.9 NO,401.01,51.61,2.9,5.08,
Granja Elsa,22,2013-12-02,0,25.9,4.1,14.78,11.1,3.04,261.6 SO,322 NO,387.33,43.05,2.9,5.19,
Granja Elsa,22,2013-12-03,0,25.5,5.5,15.46,14.4,4.01,216.1 S,120.2 E,420.85,50.86,3.3,5.27,
Granja Elsa,22,2013-12-04,0,25.5,7.1,15.04,13.9,4.84,238 SO,98.8 E,438.84,52.9,3.5,5.36,
Granja Elsa,22,2013-12-05,0,25.2,5.3,14.68,11.8,3.79,170.4 SE,96.1 E,436.66,51.91,3.4,5.16,
Granja Elsa,22,2013-12-06,0,25.2,6,14.66,11.2,4.87,212.7 S,77.7 NE,441.44,42.21,3.4,5.69,
Granja Elsa,22,2013-12-07,0,23.8,2.9,14.38,19.3,5.85,218.6 S,129.5 E,421.38,41.7,3.3,5.72,
Granja Elsa,22,2013-12-08,0,23.2,4.4,14.21,15.1,5.6,157 SE,99.7 E,424.54,50.72,3.3,5.38,
Granja Elsa,22,2013-12-09,0,23.1,5.8,14.27,15.2,4.62,237 SO,104.8 E,385.28,56.79,3.3,4.77,
Granja Elsa,22,2013-12-10,0,25.1,6.2,15.38,12.4,3.96,70.9 NE,28.7 N,419.75,52.33,3.3,5.11,
Granja Elsa,22,2013-12-11,0,24.5,5.8,14.64,14.7,4.46,35.2 N,10.3 N,374.01,62.25,3.2,4.51,
Granja Elsa,22,2013-12-12,0,21.6,8.1,14.32,20.5,8.86,69.5 NE,35.9 N,375.88,63.29,3.2,4.9,
Granja Elsa,22,2013-12-13,0,22.5,5.9,13.83,13.1,3.21,47.3 NE,28.5 N,383.71,64.02,2.8,4.34,
Granja Elsa,22,2013-12-14,0,24.3,5.9,14.4,9.5,3.68,217.5 S,82.7 NE,417.53,54.91,3.1,4.96,
Granja Elsa,22,2013-12-15,0,20.9,6.4,13.21,13.9,6.3,348.8 NO,350.9 NO,408.63,50.26,3.1,5.38,
Granja Elsa,22,2013-12-16,0,24,4.3,13.5,9.6,3.21,54.2 NE,354.5 NO,423.52,53.34,3.1,5.01,
Granja Elsa,22,2013-12-17,0,24.1,7.7,14.87,10.6,4.32,40.3 N,4.9 N,426.61,42.1,3.5,5.56,
Granja Elsa,22,2013-12-18,0,23.4,1.2,13.03,11.8,2.94,271.6 O,10.9 N,434.84,36.31,3.3,5.5,
Granja Elsa,22,2013-12-19,0,24.4,3.9,14.12,14.7,4.26,260.9 SO,78.1 NE,431.2,39.58,3.4,5.66,
Granja Elsa,22,2013-12-20,0,22.9,5.1,14.38,19.8,7.52,180 S,133.6 E,384.03,50.36,3.5,5.43,
Granja Elsa,22,2013-12-21,0,20.5,9.8,14.04,27.7,13.32,231.1 SO,174 SE,313.42,69.22,2.6,4.62,
Granja Elsa,22,2013-12-22,0,21,7.5,13.23,10.9,4.07,223.1 S,,386.31,63.19,2.8,4.51,
Granja Elsa,22,2013-12-23,0,22.4,5.9,13.07,11.7,4.79,50.2 NE,8.6 N,368.9,55.12,3.1,4.75,
Granja Elsa,22,2013-12-24,0,15.8,6.2,10.16,12.6,5.88,353.5 NO,25.7 N,265.84,68.46,1.5,3.63,
Granja Elsa,22,2013-12-25,1,22.3,7.7,12.18,21.4,3.65,277.5 O,0.8 N,351.41,70.33,2.4,4.16,
Granja Elsa,22,2013-12-26,27.8,10,8.2,9.14,7,1.39,304.6 O,10.9 N,66.78,94.55,0.1,0.78,
Granja Elsa,22,2013-12-27,24.6,8.5,5.9,7.67,11.9,1.58,62.9 NE,5.9 N,77.23,93.99,0.1,1.09,
Granja Elsa,22,2013-12-28,7.2,10.6,5.7,7.98,13.8,2.09,66.4 NE,126.1 E,120.49,95.02,0.4,1.83,
Granja Elsa,22,2013-12-29,2.6,14.1,9,11.39,15.3,5.72,168.5 SE,167.5 SE,118.35,93.49,0.6,1.98,
Granja Elsa,22,2013-12-30,2.4,13.2,10.1,11.08,14,4.07,166.4 SE,157.2 SE,99.82,94.38,0.4,1.66,
Granja Elsa,22,2013-12-31,7.6,11.3,8.3,9.84,11.9,2.9,81.1 NE,19.9 N,87.94,94.62,0.2,1.35,
Granja Elsa,22,2014-01-01,0.2,15.3,8.2,11.41,9.1,1.46,197.5 S,338.1 NO,207.58,82.66,1.1,2.72,
Granja Elsa,22,2014-01-02,3.8,18.5,7.8,12.49,24.8,6.2,62.7 NE,15 N,271.12,73.11,2,3.76,
Granja Elsa,22,2014-01-03,0,17.4,3.5,9.56,17.8,3.52,65.2 NE,17.8 N,374.17,70.8,2.4,4.48,
Granja Elsa,22,2014-01-04,0,20.3,4.3,11.42,17.4,4.47,200.7 S,94.5 E,393.31,61.56,2.7,4.89,
Granja Elsa,22,2014-01-05,0,21,7.2,12.94,13,3.4,220 S,135.3 SE,355.91,55.6,2.5,4.65,
Granja Elsa,22,2014-01-06,0,16.5,7.5,11.92,12.2,3.9,156.2 SE,22.8 N,173.77,59.38,1.2,3.06,
Granja Elsa,22,2014-01-07,0,16.9,2.3,8.84,9.3,4.09,187.2 S,2 N,362.14,69.44,2.2,4.4,
Granja Elsa,22,2014-01-08,0,20.2,2.6,11.06,15.3,3.69,173.2 SE,46 NE,409.86,62.05,2.7,4.92,
Granja Elsa,22,2014-01-09,0,20.8,3.3,12.17,17.6,5.62,219.9 S,95.4 E,438.59,46.67,3.4,5.9,
Granja Elsa,22,2014-01-10,0,21.6,2.9,12.57,21.6,6.53,241.1 SO,123.2 E,423.36,43.95,3.5,6.02,
Granja Elsa,22,2014-01-11,0.6,13.9,7.1,10.28,14,5.24,351.6 NO,2.4 N,139.97,60.3,0.9,2.72,
Granja Elsa,22,2014-01-12,4,15.2,6.2,11.31,15.2,3.87,67.2 NE,64 NE,203.07,73.27,1.2,2.93,
Granja Elsa,22,2014-01-13,0.2,20.2,3.9,11.88,10,2.89,328 NO,10.1 N,457.54,60.84,3.2,5.22,
Granja Elsa,22,2014-01-14,0,20.1,4.9,11.56,14,4.64,353.3 NO,357.1 NO,444.67,49.38,3,5.68,
Granja Elsa,22,2014-01-15,0,17.2,4.3,10.15,11.2,5.51,65.3 NE,25.2 N,449.66,47.55,3.1,5.97,
Granja Elsa,22,2014-01-16,0,19.2,0.2,8.82,10.2,3.51,,355.3 NO,435.79,50.32,2.7,5.44,
Granja Elsa,22,2014-01-17,0,20.1,1.8,11.04,21.4,4.97,72.4 NE,37.8 N,459.1,39.36,3.6,6.23,
Granja Elsa,22,2014-01-18,0,19.9,0.6,10.1,13.6,3.15,59.2 NE,7.7 N,420.73,43.29,2.9,5.53,
Granja Elsa,22,2014-01-19,0,20.7,2.1,11.34,15.1,3.92,73.1 NE,28.5 N,343.63,42.75,2.6,5.07,
Granja Elsa,22,2014-01-20,0,22.5,1.3,12.26,10.6,2.82,277.5 O,3.8 N,439.94,45.33,3.3,5.49,
Granja Elsa,22,2014-01-21,0,22.5,6.9,13.91,18,6.88,47.1 NE,27.2 N,447.41,38.91,3.8,6.42,
Granja Elsa,22,2014-01-22,0,22.5,2.2,12.25,9.7,3.25,202.7 S,61.3 NE,452.32,44.07,3.2,5.56,
Granja Elsa,22,2014-01-23,0,24.5,5.3,14.27,12.5,4.25,302.1 O,70.4 NE,431.01,47.65,3.3,5.47,
Granja Elsa,22,2014-01-24,0,22.7,7.2,14.36,20.2,4.41,73.8 NE,20.1 N,437.6,57.45,3.2,5.16,
Granja Elsa,22,2014-01-25,0.2,24,7.9,15.17,10.4,3.57,25.8 N,2.2 N,436.64,55.72,3.3,5.1,
Granja Elsa,22,2014-01-26,0,24.9,5.9,15.54,16.4,4.02,264.3 SO,333.2 NO,455.41,45.36,3.9,5.56,
Granja Elsa,22,2014-01-27,0,24.6,5.5,15.1,14.3,5.16,240.5 SO,117.5 E,455.15,40.8,3.9,5.87,
Granja Elsa,22,2014-01-28,0,23.5,5.3,14.13,19.5,5.98,186 S,125.2 E,446.56,40.92,3.9,5.91,
Granja Elsa,22,2014-01-29,0,21.6,4,12.55,14.3,4.23,225.4 SO,17.8 N,464.73,47.24,3.5,5.53,
Granja Elsa,22,2014-01-30,0,22.1,3.1,12.35,9.4,3.97,344.1 NO,46.8 NE,468.28,50.16,3.6,5.51,
Granja Elsa,22,2014-01-31,0,24.2,5.3,14.2,14.1,4.89,185.9 S,107.7 E,478.14,39.35,3.9,6.16,
